SKU,Description
RK1762,"1 Rakhi,1 Hand Made Box 5x5x4inches,Almonds 250gms,1 Small Yellow Cushion,2 Small Golden Box for roli chawal,1 Roli Chawal"
RK1764,"1 Rakhi,1 Hand Made Box 5x5x4inches,Almonds 250gms,1 Flower Design Roli Chawal"
RK57,Mere Bhaiyya Rakhi Thread with Roli chawal
RK673,"1 Shree King Design Oval, 1 Soan Papdi 500gms, 1 Roli Chawal"
RK796,Rudraksh rakhi and greeting card
RK1775,"1 Rakhi,1 Square Roli Chawal Tray 5x5inches,Motichoor Laddo 250gms"
RK926,12x12 Cushion
RK1780,"5 Rakhi ,1 Orange Potli 10inches,1 Almonds 250gms,5 Small Yellow Cushion,1 Wooden Square Tray 9x9inches,1 Roli Chawal"
RK1247,"Rishi Bracelets Chain Yellow Stone, Roli Chawal"
RK1782,"2 Rakhi,1 Orange Potli 10inches,Almonds 250gms,Royal Dansk Cookies 400gms,1 Small Yellow Cushion,1 Wooden Square Tray 9x9inches,1 Roli Chawal"
RK1783,"2 Rakhi,Royal Dansk Cookies 400gms,1 Small Yellow Cushion,2 Small Golden Box for roli chawal,Almonds 250gms,1 Wooden Square Tray 9x9inches,1 Jute Potli,Roli Chawal"
RK1784,"3 Rakhi,3 Small Yellow Cushion,Royal Dansk Cookies 400gms,2 Small Golden Box for Roli Chawal,Almonds 250gms,1 Jute Potli,1 Wooden Square Tray 9x9inches,Roli Chawal"
RK1349,"Rishi Bhaiya Bhabhi Set Red Zardosi Lumba Rakhi Set, Roli Chawal"
RK1845,"2 Rakhi,1 Small Yellow Cushion,Almonds 250gms,1 Purple Box 5x5x3inches,1 Lotus Design Roli Chawal,Ferrero Rocher Chocolate 24 pcs.,1 Ganesha Door Soan"
RK2041,"1 Vedika Budha Face Rakhi Rakhi, 1 Black Resin Meditating Buddha 10 Inches, 1 Small Card, Wooden Designer Round Chopra Diameter 5.5 Inches , 1 Roli Chawal"
RK250,"2 kundan rakhi with orange beads. Decorative Roli Chawal, small coconut 8gms, 2 Swastika door soan. 250 gms Cashewnuts, 100gms of raisins."
RK272,"Rudraksha with red and golden beads rakhi,Two ganesh door soans,Small Yellow Cushion, Almonds 100gms,Cashewsnuts 100gms,Boat Shape Wooden Basket 9X6,Roli Chawal"
RK733,"1 Rakhi, 1 Small Card, 1 Mist Kaju Katli 210gms, 1 Marble Ganesha Chopra 5.5 Inches, 1 Roli Chawal"
RK865,White Mug with Print
RK894,"World's best brother rakhi, Complimentary Roli Chawal"
RK1796,"1 Rakhi,1 Green Hand Made Basket 5x5x3inches,Almonds 250gms,1 Designer Yellow Envelope 4x8 inches,Roli Chawal"
RK919,White Mug with Print
RK921,White Mug with Print
RK1800,"1 Rakhi,1 Pagdi Box Diameter 6inches,Ferrero Rocher Chocolate 16 pcs.,Roli Chawal"
RK922,12x12 Cushion
RK968,"Cushion 12x12,Temptations Cashew Appeal 72gms,Cadbury Dairy Milk Silk 60gms"
RK1804,"1 Rakhi,1 Rectangular Wooden Tray 5.5x15inches,Almonds 250gms,Roli Chawal"
RK1805,"1 Rakhi,Kaju Roll 250gms,Cashew 250gms,1 Designer Wooden Tray 5.5x15inches,Roli Chawal"
RK1806,"1 Rakhi,Kaju Roll 250gms,Cashew 250gms,1 Designer Wooden Tray 5.5x15inches,1 Lotus Design Roli Chawal"
RK1143,"5 red rakhi thread, Roli Chawal, 3 Small yellow cushion"
RK181,"Orange Zari Rakhi, Small Yellow Cushion, a pair of door soan, Greeting Card, 200 gmsAssorted Chocolate, Wooden Tray Without Legs 9X13, 2 Cadbury Bournville Rich Cocoa 80gms"
RK1191,Blue 12x12 Cushion
RK1214,"Vedika Blue Kundan 2016, Roli Chawal"
RK1220,"Vedika Antique Gold Big 2016, Roli Chawal"
RK1223,"Rishi Designer Smal Square With Red Bead, Roli Chawal"
RK1355,"Rishi Lumba Big Blue Stone Kundan Lumba, Roli Chawal"
RK1382,Cushion 12x12 Inches
RK169,"Ferrero Rocher 200gms, Four Cadbury Dairy Milk Chocolate 14gms, a silver beads rakhi, A green & red stone chain rakhi, Red & White bead Rakhi and Purple-yellow-red zardozi rakhi, two small yellow cushion & Roli Chawal"
RK1825,"1 Rakhi,Tong Garden Almonds Salted 140gms,Soan Papdi 250gms,Almond 250gms,1 Brown Bag 7.5x7.5inches,Roli Chawal"
RK1758,"1 Rakhi,1 Peacock Thali 11.5x10inches,Kaju Barfi 250gms,1 Roli Chawal"
RK1820,"2 Rakhi,2 Small Yellow Cushion,Walnut 100gms,Cashew 100gms,Almond 100gms,Raisins 100gms,Ferrero Rocher Chocolate 8 pcs.,Assorted Chocolates 100gms,1 Briefcase 11x8x3inches,Roli Chawal"
RK1905,"2 Rakhi,1 Square Roli Chawal Tray 5x5inches, Assorted Chocolates 250gms,Roli Chawal"
RK1912,1 Black Cushions 12x12inches
RK1849,"1 Rakhi,Cadbury Celebrations Chocolate 131.3 gms,1 Marble Ganesha Idol Diameter 5inches,Roli Chawal"
RK1920,1 Black Mug Diameter 3x4inches
RK1976,"1 Rudhraksh Two Rakhi with Chandan, 1 Small Card, 1 Two Layer Bamboo Plant 4 Inches Approx., 1 Green Square Pot 2X2 Inches, 1 Roli Chawal"
RK2031,"1 Rishi Designer Pink Stone, 1 Metal Tray 5x3 Inches, 1 Small Card, 1 Mist Kaju Katli 210gms, 1 Roli Chawal"
RK1858,"1 Rakhi,Motichoor Laddo 250gms,3 Cadbury Dairy Milk Fruit n Nut Chocolate 38gms,1 Jute Potli,1 Lotus Design Roli Chawal"
RK271,"Small Yellow Cushion, Flavoured Peanuts Classic Cheese N Onion 150gms, Two Temptations Almond Treat 72gms, Roli Chawal, Rudraksh rakhi with red beads"
RK350,"Mauli rakhi with golden beads,Small Yellow Cushion,Four Cadbury Dairy Milk Chocolate 14gms,Greeting Card,Sunfeast Farmlite Oats & Almonds 150gms,Roli Chawal"
