Product ID,Product SKU,Egg/Eggless,Variants
1283,CAKE11510,"CAKE8717,CAKE11510","CAKE11510,CAKE11507"
1284,CAKE8719,"CAKE8719,CAKE11507","CAKE8717,CAKE8719"
1285,CAKE11507,"CAKE8719,CAKE11507","CAKE11510,CAKE11507"
1286,CAKE8734,"CAKE8734,CAKE11494","CAKE8717,CAKE8719"
1287,CAKE11494,"CAKE8734,CAKE11494","CAKE11510,CAKE11507"
1465,CAKE9082,"CAKE9082,CAKE10603","CAKE9078,CAKE9082,CAKE9055"
1460,CAKE10603,"CAKE9082,CAKE10603","CAKE10604,CAKE10603,CAKE10606"
1463,CAKE9055,"CAKE9055,CAKE10606","CAKE9078,CAKE9082,CAKE9055"
1462,CAKE10606,"CAKE9055,CAKE10606","CAKE10604,CAKE10603,CAKE10606"
1464,CAKE9078,"CAKE9078,CAKE10604","CAKE9078,CAKE9082,CAKE9055"
1461,CAKE10604,"CAKE9078,CAKE10604","CAKE10604,CAKE10603,CAKE10606"
1088,CAKE149,"CAKE149,CAKE12559","CAKE149,CAKE152"
1091,CAKE12559,"CAKE149,CAKE12559","CAKE12559,CAKE12560"
1089,CAKE152,"CAKE152,CAKE12560","CAKE149,CAKE152"
1092,CAKE12560,"CAKE152,CAKE12560","CAKE12559,CAKE12560"
1090,CAKE151,"CAKE151,CAKE12561","CAKE149,CAKE152"
1093,CAKE12561,"CAKE151,CAKE12561","CAKE12559,CAKE12560"
1094,CAKE16019,"CAKE16019,CAKE16017","CAKE16019,CAKE16022"
1097,CAKE16017,"CAKE16019,CAKE16017","CAKE16017,CAKE16016"
1095,CAKE16022,"CAKE16022,CAKE16016","CAKE16019,CAKE16022"
1098,CAKE16016,"CAKE16022,CAKE16016","CAKE16017,CAKE16016"
1096,CAKE16021,"CAKE16021,CAKE16018","CAKE16019,CAKE16022"
1099,CAKE16018,"CAKE16021,CAKE16018","CAKE16017,CAKE16016"
1100,CAKE16077,"CAKE16077,CAKE16074","CAKE16077,CAKE16072"
1103,CAKE16074,"CAKE16077,CAKE16074","CAKE16074,CAKE16075"
1101,CAKE16072,"CAKE16072,CAKE16075","CAKE16077,CAKE16072"
1104,CAKE16075,"CAKE16072,CAKE16075","CAKE16074,CAKE16075"
1102,CAKE16073,"CAKE16073,CAKE16076","CAKE16077,CAKE16072"
1105,CAKE16076,"CAKE16073,CAKE16076","CAKE16074,CAKE16075"
1112,CAKE16258,"CAKE16258,CAKE16264","CAKE16258,CAKE16260"
1115,CAKE16264,"CAKE16258,CAKE16264","CAKE16264,CAKE16266"
1113,CAKE16260,"CAKE16260,CAKE16266","CAKE16258,CAKE16260"
1116,CAKE16266,"CAKE16260,CAKE16266","CAKE16264,CAKE16266"
1114,CAKE16262,"CAKE16262,CAKE16268","CAKE16258,CAKE16260"
1117,CAKE16268,"CAKE16262,CAKE16268","CAKE16264,CAKE16266"
1106,CAKE16257,"CAKE16257,CAKE16263","CAKE16257,CAKE16259"
1109,CAKE16263,"CAKE16257,CAKE16263","CAKE16263,CAKE16265"
1107,CAKE16259,"CAKE16259,CAKE16265","CAKE16257,CAKE16259"
1110,CAKE16265,"CAKE16259,CAKE16265","CAKE16263,CAKE16265"
1108,CAKE16261,"CAKE16261,CAKE16267","CAKE16257,CAKE16259"
1111,CAKE16267,"CAKE16261,CAKE16267","CAKE16263,CAKE16265"
1447,CAKE37990,"CAKE37990,CAKE37981","CAKE37990,CAKE37989"
1442,CAKE37981,"CAKE37990,CAKE37981","CAKE37981,CAKE37984"
1446,CAKE37989,"CAKE37989,CAKE37984","CAKE37990,CAKE37989"
1445,CAKE37984,"CAKE37989,CAKE37984","CAKE37981,CAKE37984"
1443,CAKE37982,"CAKE37982,CAKE37983","CAKE37990,CAKE37989"
1444,CAKE37983,"CAKE37982,CAKE37983","CAKE37981,CAKE37984"
1405,CAKE8631,"CAKE8631,CAKE12103","CAKE8632,CAKE8631,CAKE8634"
1402,CAKE12103,"CAKE8631,CAKE12103","CAKE12104,CAKE12103,CAKE12108"
1407,CAKE8634,"CAKE8634,CAKE12108","CAKE8632,CAKE8631,CAKE8634"
1404,CAKE12108,"CAKE8634,CAKE12108","CAKE12104,CAKE12103,CAKE12108"
1406,CAKE8632,"CAKE8632,CAKE12104","CAKE8632,CAKE8631,CAKE8634"
1403,CAKE12104,"CAKE8632,CAKE12104","CAKE12104,CAKE12103,CAKE12108"
1154,CAKE6897,"CAKE6897,CAKE11230","CAKE6898,CAKE6897,CAKE6892"
1155,CAKE11230,"CAKE6897,CAKE11230","CAKE11243,CAKE11230,CAKE11277"
1156,CAKE6892,"CAKE6892,CAKE11277","CAKE6898,CAKE6897,CAKE6892"
1157,CAKE11277,"CAKE6892,CAKE11277","CAKE11243,CAKE11230,CAKE11277"
1158,CAKE6898,"CAKE6898,CAKE11243","CAKE6898,CAKE6897,CAKE6892"
1159,CAKE11243,"CAKE6898,CAKE11243","CAKE11243,CAKE11230,CAKE11277"
1427,CAKE142,"CAKE142,CAKE12728","CAKE144,CAKE142,CAKE143"
1426,CAKE12728,"CAKE142,CAKE12728","CAKE12727,CAKE12728,CAKE12722"
